date,region,number
07/05/2020,London,270
26/03/2020,North West,358
25/03/2020,North West,255
24/03/2020,North West,255
23/03/2020,North West,175
06/05/2020,London,270
05/05/2020,London,217
22/03/2020,North West,117
04/05/2020,London,246
21/03/2020,North West,115
03/05/2020,London,168
20/03/2020,North West,82
19/03/2020,North West,98
18/03/2020,North West,84
02/05/2020,London,248
01/05/2020,London,355
17/03/2020,North West,55
30/04/2020,London,424
29/04/2020,London,428
28/04/2020,London,312
27/04/2020,London,419
26/04/2020,London,311
16/03/2020,North West,56
15/03/2020,North West,24
25/04/2020,London,333
24/04/2020,London,378
23/04/2020,London,524
22/04/2020,London,399
21/04/2020,London,467
14/03/2020,North West,25
13/03/2020,North West,43
12/03/2020,North West,40
11/03/2020,North West,17
10/03/2020,North West,15
09/03/2020,North West,7
08/03/2020,North West,5
07/03/2020,North West,9
06/03/2020,North West,2
20/04/2020,London,437
19/04/2020,London,395
18/04/2020,London,401
17/04/2020,London,579
05/03/2020,North West,10
04/03/2020,North West,2
03/03/2020,North West,7
02/03/2020,North West,6
16/04/2020,London,578
15/04/2020,London,660
14/04/2020,London,600
13/04/2020,London,602
12/04/2020,London,501
11/04/2020,London,523
10/04/2020,London,619
09/04/2020,London,800
08/04/2020,London,875
07/04/2020,London,952
06/04/2020,London,860
05/04/2020,London,632
04/04/2020,London,765
03/04/2020,London,983
01/03/2020,North West,7
02/04/2020,London,1069
01/04/2020,London,979
31/03/2020,London,935
30/03/2020,London,868
29/02/2020,North West,0
29/03/2020,London,596
28/02/2020,North West,1
27/02/2020,North West,0
26/02/2020,North West,0
28/03/2020,London,577
27/03/2020,London,818
26/03/2020,London,766
25/03/2020,London,757
24/03/2020,London,636
25/02/2020,North West,0
24/02/2020,North West,0
23/03/2020,London,689
22/03/2020,London,437
21/03/2020,London,351
20/03/2020,London,426
19/03/2020,London,332
18/03/2020,London,356
23/02/2020,North West,0
17/03/2020,London,311
22/02/2020,North West,1
16/03/2020,London,234
15/03/2020,London,165
14/03/2020,London,150
13/03/2020,London,135
12/03/2020,London,164
11/03/2020,London,183
10/03/2020,London,92
09/03/2020,London,52
08/03/2020,London,22
