date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-07-21",region,E12000003,Yorkshire and The Humber,100
"2020-07-20",region,E12000003,Yorkshire and The Humber,115
"2020-12-18",region,E12000008,South East,6234
"2020-07-19",region,E12000003,Yorkshire and The Humber,101
"2020-12-17",region,E12000008,South East,5908
"2020-07-18",region,E12000003,Yorkshire and The Humber,97
"2020-12-16",region,E12000008,South East,6018
"2020-07-17",region,E12000003,Yorkshire and The Humber,100
"2020-12-15",region,E12000008,South East,6033
"2020-12-14",region,E12000008,South East,5988
"2020-12-13",region,E12000008,South East,3684
"2020-04-20",region,E12000006,East of England,362
"2020-12-12",region,E12000008,South East,3284
"2020-07-16",region,E12000003,Yorkshire and The Humber,86
"2020-12-11",region,E12000008,South East,4074
"2020-12-10",region,E12000008,South East,3583
"2020-12-09",region,E12000008,South East,3234
"2020-12-08",region,E12000008,South East,3138
"2020-04-19",region,E12000006,East of England,317
"2020-07-15",region,E12000003,Yorkshire and The Humber,119
"2020-12-07",region,E12000008,South East,3286
"2020-12-06",region,E12000008,South East,2028
"2020-12-05",region,E12000008,South East,1883
"2020-04-18",region,E12000006,East of England,329
"2020-12-04",region,E12000008,South East,2332
"2020-07-14",region,E12000003,Yorkshire and The Humber,133
"2020-12-03",region,E12000008,South East,2286
"2020-12-02",region,E12000008,South East,2276
"2020-12-01",region,E12000008,South East,2279
"2020-11-30",region,E12000008,South East,2409
"2020-11-29",region,E12000008,South East,1464
"2020-11-28",region,E12000008,South East,1457
"2020-11-27",region,E12000008,South East,2055
"2020-11-26",region,E12000008,South East,1756
"2020-11-25",region,E12000008,South East,2043
"2020-11-24",region,E12000008,South East,1967
"2020-11-23",region,E12000008,South East,2381
"2020-11-22",region,E12000008,South East,1290
"2020-11-21",region,E12000008,South East,1471
"2020-11-20",region,E12000008,South East,1886
"2020-07-13",region,E12000003,Yorkshire and The Humber,135
"2020-07-12",region,E12000003,Yorkshire and The Humber,98
"2020-04-17",region,E12000006,East of England,365
"2020-07-11",region,E12000003,Yorkshire and The Humber,86
"2020-11-19",region,E12000008,South East,1890
"2020-04-16",region,E12000006,East of England,337
"2020-04-15",region,E12000006,East of England,295
"2020-11-18",region,E12000008,South East,2258
"2020-07-10",region,E12000003,Yorkshire and The Humber,92
"2020-11-17",region,E12000008,South East,2282
"2020-07-09",region,E12000003,Yorkshire and The Humber,97
"2020-11-16",region,E12000008,South East,2994
"2020-11-15",region,E12000008,South East,1686
"2020-07-08",region,E12000003,Yorkshire and The Humber,126
"2020-11-14",region,E12000008,South East,1804
"2020-11-13",region,E12000008,South East,2727
"2020-11-12",region,E12000008,South East,2618
"2020-11-11",region,E12000008,South East,2715
"2020-11-10",region,E12000008,South East,2599
"2020-11-09",region,E12000008,South East,2987
"2020-11-08",region,E12000008,South East,1953
"2020-11-07",region,E12000008,South East,1712
"2020-04-14",region,E12000006,East of England,289
"2020-11-06",region,E12000008,South East,1920
"2020-07-07",region,E12000003,Yorkshire and The Humber,103
"2020-11-05",region,E12000008,South East,1917
"2020-07-06",region,E12000003,Yorkshire and The Humber,120
"2020-11-04",region,E12000008,South East,1938
"2020-11-03",region,E12000008,South East,1964
"2020-11-02",region,E12000008,South East,2519
"2020-11-01",region,E12000008,South East,1008
"2020-07-05",region,E12000003,Yorkshire and The Humber,90
"2020-07-04",region,E12000003,Yorkshire and The Humber,78
"2020-04-13",region,E12000006,East of England,292
"2020-04-12",region,E12000006,East of England,260
"2020-07-03",region,E12000003,Yorkshire and The Humber,106
"2020-07-02",region,E12000003,Yorkshire and The Humber,104
"2020-07-01",region,E12000003,Yorkshire and The Humber,131
"2020-10-31",region,E12000008,South East,1209
"2020-10-30",region,E12000008,South East,1692
"2020-06-30",region,E12000003,Yorkshire and The Humber,112
"2020-10-29",region,E12000008,South East,1704
"2020-10-28",region,E12000008,South East,1627
"2020-04-11",region,E12000006,East of England,271
"2020-04-10",region,E12000006,East of England,320
"2020-10-27",region,E12000008,South East,1700
"2020-04-09",region,E12000006,East of England,326
"2020-10-26",region,E12000008,South East,1856
"2020-06-29",region,E12000003,Yorkshire and The Humber,133
"2020-10-25",region,E12000008,South East,972
"2020-10-24",region,E12000008,South East,1095
"2020-04-08",region,E12000006,East of England,409
"2020-10-23",region,E12000008,South East,1428
"2020-10-22",region,E12000008,South East,1444
"2020-10-21",region,E12000008,South East,1643
"2020-10-20",region,E12000008,South East,1595
"2020-10-19",region,E12000008,South East,1402
"2020-10-18",region,E12000008,South East,758
"2020-10-17",region,E12000008,South East,794
"2020-04-07",region,E12000006,East of England,389
"2020-04-06",region,E12000006,East of England,385
"2020-06-28",region,E12000003,Yorkshire and The Humber,98
"2020-06-27",region,E12000003,Yorkshire and The Humber,148
"2020-06-26",region,E12000003,Yorkshire and The Humber,152
"2020-10-16",region,E12000008,South East,955
"2020-10-15",region,E12000008,South East,972
"2020-06-25",region,E12000003,Yorkshire and The Humber,143
"2020-10-14",region,E12000008,South East,1075
"2020-06-24",region,E12000003,Yorkshire and The Humber,156
"2020-06-23",region,E12000003,Yorkshire and The Humber,172
"2020-06-22",region,E12000003,Yorkshire and The Humber,156
"2020-06-21",region,E12000003,Yorkshire and The Humber,116
"2020-06-20",region,E12000003,Yorkshire and The Humber,163
"2020-06-19",region,E12000003,Yorkshire and The Humber,203
"2020-06-18",region,E12000003,Yorkshire and The Humber,258
"2020-06-17",region,E12000003,Yorkshire and The Humber,230
"2020-10-13",region,E12000008,South East,1022
"2020-04-05",region,E12000006,East of England,282
"2020-04-04",region,E12000006,East of England,269
"2020-04-03",region,E12000006,East of England,353
"2020-04-02",region,E12000006,East of England,372
"2020-04-01",region,E12000006,East of England,333
"2020-06-16",region,E12000003,Yorkshire and The Humber,216
"2020-03-31",region,E12000006,East of England,322
"2020-03-30",region,E12000006,East of England,300
"2020-03-29",region,E12000006,East of England,209
"2020-03-28",region,E12000006,East of England,183
"2020-10-12",region,E12000008,South East,865
"2020-10-11",region,E12000008,South East,484
"2020-10-10",region,E12000008,South East,560
"2020-10-09",region,E12000008,South East,776
"2020-03-27",region,E12000006,East of England,243
"2020-03-26",region,E12000006,East of England,215
"2020-10-08",region,E12000008,South East,965
"2020-10-07",region,E12000008,South East,907
"2020-10-06",region,E12000008,South East,679
"2020-10-05",region,E12000008,South East,744
"2020-10-04",region,E12000008,South East,560
"2020-10-03",region,E12000008,South East,543
"2020-10-02",region,E12000008,South East,631
"2020-06-15",region,E12000003,Yorkshire and The Humber,189
"2020-03-25",region,E12000006,East of England,188
"2020-03-24",region,E12000006,East of England,165
"2020-03-23",region,E12000006,East of England,194
"2020-03-22",region,E12000006,East of England,90
"2020-06-14",region,E12000003,Yorkshire and The Humber,159
"2020-06-13",region,E12000003,Yorkshire and The Humber,193
"2020-06-12",region,E12000003,Yorkshire and The Humber,246
"2020-06-11",region,E12000003,Yorkshire and The Humber,197
"2020-06-10",region,E12000003,Yorkshire and The Humber,226
"2020-06-09",region,E12000003,Yorkshire and The Humber,173
"2020-06-08",region,E12000003,Yorkshire and The Humber,187
"2020-06-07",region,E12000003,Yorkshire and The Humber,150
"2020-03-21",region,E12000006,East of England,78
"2020-03-20",region,E12000006,East of England,70
"2020-03-19",region,E12000006,East of England,57
"2020-03-18",region,E12000006,East of England,74
"2020-03-17",region,E12000006,East of England,38
"2020-06-06",region,E12000003,Yorkshire and The Humber,121
"2020-06-05",region,E12000003,Yorkshire and The Humber,156
"2020-03-16",region,E12000006,East of England,24
"2020-06-04",region,E12000003,Yorkshire and The Humber,179
"2020-10-01",region,E12000008,South East,517
"2020-06-03",region,E12000003,Yorkshire and The Humber,206
"2020-03-15",region,E12000006,East of England,35
"2020-09-30",region,E12000008,South East,488
"2020-09-29",region,E12000008,South East,350
"2020-06-02",region,E12000003,Yorkshire and The Humber,197
"2020-09-28",region,E12000008,South East,371
"2020-09-27",region,E12000008,South East,265
"2020-06-01",region,E12000003,Yorkshire and The Humber,191
"2020-05-31",region,E12000003,Yorkshire and The Humber,177
"2020-09-26",region,E12000008,South East,216
"2020-09-25",region,E12000008,South East,311
"2020-09-24",region,E12000008,South East,289
"2020-05-30",region,E12000003,Yorkshire and The Humber,164
"2020-09-23",region,E12000008,South East,254
